,item_number,material_class,composition_formula,hydrogen_weight_percent,heat_of_formation,temperature,Temp,pressure,author_year,reference_number,comment1,comment2,comment3
224,117,A2B,Mg2Ni,3.6,64.5,299,572.15,3.2,"Reilly, 1968",88.0,,,
226,1963,Mg,Mg2Ni,3.6,64.5,299,572.15,3.2,"Reilly, 1968",88.0,,,
228,111,A2B,Mg2Ni,3.3,65.9,300,573.15,3.2,"Sun, 1999",1228.0,Solid-state synthesized,,
230,1957,Mg,Mg2Ni,3.3,65.9,300,573.15,3.2,"Sun, 1999",1228.0,Solid-state synthesized,,
232,1841,Mg,Mg-26Cu (M),5.3,78.3,330,603.15,3.2,"Reilly, 1967",87.0,,,
233,112,A2B,Mg2Ni,3.3,63.2,300,573.15,3.1,"Song, 1998",1224.0,,,
235,1958,Mg,Mg2Ni,3.3,63.2,300,573.15,3.1,"Song, 1998",1224.0,,,
237,637,AB2,ZrMn2Fe1.2,0.7,6.8,25,298.15,3.0,"Sinha, 1982",509.0,,,
238,639,AB2,ZrMn2Ni.8,1.3,18.6,23,296.15,3.0,"Pourarian, 1984",551.0,,,
239,767,AB2,Ti.9Zr.2Mn1.4Cr.4(VFe).2,2.1,25.5,25,298.15,3.0,"Xu, 2001",1290.0,VFe=ferrovanadium,,
240,524,AB2,Zr(Fe.75Cr.25)2,1.4,25.6,45,318.15,3.0,"Fang, 2000",1283.0,,,
241,773,AB2,Ti.9Zr.2Mn1.8V.2,2.1,26.0,25,298.15,3.0,"Xu, 2001",1290.0,,,
242,447,AB2,Ti.8Zr.2Mn1.5Cu.5,1.6,27.0,30,303.15,3.0,"Hong, 1993",373.0,,,
243,850,AB2,Zr.8Ti.2Cr.6Fe1.4,1.6,27.0,23,296.15,3.0,"Wallace, 1985",1169.0,,,
244,567,AB2,ZrCrFeCu.8,1.2,28.0,23,296.15,3.0,"Wallace, 1985",1168.0,,,
245,772,AB2,Ti.9Zr.2Mn1.8(VFe).2,2.0,29.1,25,298.15,3.0,"Xu, 2001",1290.0,VFe=ferrovanadium,,
246,575,AB2,ZrFe1.4Cr.6,1.5,29.9,20,293.15,3.0,"Ivey, 1984",29.0,,,
247,1141,AB5,MmNi4.2Al.4Fe.4,1.1,30.0,30,303.15,3.0,"Iwakura, 1995",1177.0,,,
248,2592,SS,Pd.90Pt.10,0.3,30.7,80,353.15,3.0,"Yasumatsu, 1999",1406.0,,,
249,624,AB2,ZrMn2.7,1.3,33.6,100,373.15,3.0,"Uchida, 1986",370.0,,,
250,616,AB2,ZrMn2,1.5,36.0,210,483.15,3.0,"Fujii, 1987",369.0,,,
251,1416,AB5,YNi4Al,1.0,40.8,60,333.15,3.0,"Sorgic, 1998",812.0,,,
252,2063,MIC,DyCo3,1.3,42.0,100,373.15,3.0,"Wallace, 1980",439.0,,,
253,2097,MIC,GdCo3 (M),1.4,45.0,150,423.15,3.0,"Wallace, 1980",439.0,,,
254,696,AB2,GdRu2,1.0,60.0,225,498.15,3.0,"Shaltiel, 1979",361.0,,,
255,1914,Mg,Mg0.70Ni0.25Nd0.05,3.4,69.0,300,573.15,3.0,"Tanaka, 1999",1479.0,,Melt spun,
256,1946,Mg,Mg2CuAl.25 (M),3.0,72.0,330,603.15,3.0,"Biris, 1982",716.0,,,
257,1947,Mg,Mg2CuAl.375 (M),3.2,76.0,330,603.15,3.0,"Biris, 1982",716.0,,,
258,1840,Mg,Mg-25Ni (M),5.7,77.5,323,596.15,3.0,"Reilly, 1968",88.0,,,
259,1986,Mg,Mg2Ni.85Al.15 (M),3.4,84.0,327,600.15,3.0,"Biris, 1982",758.0,,,
260,1136,AB5,MmNi3Co2,1.4,32.7,20,293.15,2.9,"Osumi, 1979",121.0,(+ Co1.0 & Co2.5),,
261,1670,Mg,Mg-5Ni,7.4,76.4,323,596.15,2.9,"Friedlmeier, 1997",714.0,,,
262,1165,AB5,MmNi4.5Mn.5,1.49,28.0,20,293.15,2.7,"Wang, 1989",267.0,,,
263,2583,SS,Pd.85Rh.15,0.7,31.0,50,323.15,2.7,"Noh, 1993",867.0,,,
264,771,AB2,Ti.9Zr.2Mn1.6Ni.2V.2,2.1,31.7,25,298.15,2.7,"Xu, 2001",1290.0,,,
265,1971,Mg,Mg-2Ni,7.2,75.6,316,589.15,2.7,"Friedlmeier, 1997",714.0,,,
266,846,AB2,Zr.7Ti.3Mn2Fe.8,0.8,14.0,25,298.15,2.6,"Sinha, 1982",20.0,,,
267,214,AB,TiFe.9Mn.1 (M),1.9,29.5,25,298.15,2.6,"Johnson, 1978",330.0,,,
268,120,A2B,Mg2Ni,3.6,71.3,300,573.15,2.6,"Li, 2000",1236.0,Hydriding combustion synthesis,,
270,1967,Mg,Mg2Ni,3.6,71.3,300,573.15,2.6,"Li, 2000",1236.0,Hydriding combustion synthesis,,
272,563,AB2,ZrCrFe1.6,1.2,29.1,30,303.15,2.5,"Uchida, 1986",370.0,,,
273,2163,MIC,LaCaMgNi9,1.8,33.0,20,293.15,2.5,"Chen, 2000",1295.0,,,
275,2164,MIC,LaCaMgNi9,1.8,33.0,20,293.15,2.5,"Chen, 2000",1316.0,,,
277,1000,AB5,ErNi3.5Al1.5,0.7,39.8,115,388.15,2.5,"Sorgic, 1996",591.0,,,
278,99,A2B,Mg1.9Ti.1Ni,2.9,62.5,300,573.15,2.5,"Liang, 1999",1226.0,Nanocrystalline,,
280,1771,Mg,Mg1.9Ti.1Ni,2.9,62.5,300,573.15,2.5,"Liang, 1999",1226.0,Nanocrystalline,,
282,118,A2B,Mg2Ni,3.6,64.6,300,573.15,2.5,"Lutz, 1977",420.0,,,
284,1964,Mg,Mg2Ni,3.6,64.6,300,573.15,2.5,"Lutz, 1977",420.0,(Dynamic PCT),,
286,1293,AB5,LaNi5,1.5,30.1,21,294.15,2.4,"van Vucht, 1970",93.0,,,
287,2609,SS,Pd.952Ti.048,0.4,27.2,100,373.15,2.3,"Evans, 1980",462.0,,,
288,1328,AB5,LmNi4.4Co.2Mn.2Al.2,1.3,34.1,50,323.15,2.3,"Groll, 1989",266.0,(Lm = La-rich Mm),,
289,958,AB5,Ce.5La.5Ni2.5Cu2.5,1.1,22.9,23,296.15,2.2,"Pourarian, 1986",254.0,,,
290,444,AB2,Ti.8Zr.2Mn1.2V.2Cr.6,1.9,30.5,20,293.15,2.2,"Gamo, 1979",35.0,,,
292,450,AB2,Ti.8Zr.2Mn1.6V.2Cr.2,1.9,30.5,20,293.15,2.0,"Gamo, 1979",35.0,,,
294,167,AB,TiCo,1.3,57.8,150,423.15,2.2,"Osumi, 1980",80.0,,,
295,166,AB,TiCo,1.1,61.1,150,423.15,2.2,"Someno, 1979",381.0,,,
296,110,A2B,Mg2Ni,3.3,67.0,300,573.15,2.2,"Liang, 1999",1226.0,Nanocrystalline,,
298,1956,Mg,Mg2Ni,3.3,67.0,300,573.15,2.2,"Liang, 1999",1226.0,Nanocrystalline,,
300,1164,AB5,MmNi4.5Mn.5,1.3,17.6,20,293.15,2.1,"Osumi, 1979",120.0,"(+ Mn.25, Mn.75, Mn1.0)",,
301,1086,AB5,LaNi4.9Sn0.1,1.3,32.0,35,308.15,2.1,"Filatova, 2001",1527.0,,,
302,1002,AB5,ErNi4Al,0.9,32.4,0,273.15,2.1,"Sorgic, 1996",591.0,,,
303,867,AB2,Zr.9Ti.1Cr.55Fe1.45,1.6,1.03,10,283.15,2.0,"Park, 2001",1292.0,,,
304,847,AB2,Zr.7Ti.3MnFe,1.7,10.0,23,296.15,2.0,"Sinha, 1982",25.0,,,
305,2076,MIC,Er6Fe23,0.8,19.0,0,273.15,2.0,"Smith, 1983",612.0,,,
306,1317,AB5,LaNi6.37Mn0.33,0.8,23.2,20,293.15,2.0,"Verbetsky, 1989",1529.0,,,
307,2435,MIC,(Y.5Ca.5)(MgCa)Ni9,2.0,25.8,-10,263.15,2.0,"Kadir, 1999",1304.0,,,Sloping plateau
308,2485,SS,Pd.9Pt.1,0.4,27.4,25,298.15,2.0,"Thiebaut, 1995",482.0,,,
