,item_number,material_class,composition_formula,hydrogen_weight_percent,heat_of_formation,temperature,Temp,pressure,author_year,reference_number,comment1,comment2,comment3
471,253,AB,HfNi (M),1.3,40.0,190,463.15,1.0,"Nemirovskaya, 1991",606.0,,,
472,249,AB,HfCo,1.3,43.0,270,543.15,1.0,"Nemirovskaya, 1991",606.0,,,
473,136,A2B,Mg2Ni0.75Mn0.25,3.2,58.0,250,523.15,1.0,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,
475,1992,Mg,Mg2Ni0.75Mn0.25,3.2,58.0,250,523.15,1.0,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,
477,126,A2B,Mg2Ni.75Cr.25,3.0,59.9,248,521.15,1.0,"Darnaudery, 1983",418.0,,,
479,1977,Mg,Mg2Ni.75Cr.25,3.0,59.9,248,521.15,1.0,"Darnaudery, 1983",418.0,,,
481,135,A2B,Mg2Ni0.75Fe0.25,3.2,60.0,250,523.15,1.0,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,
483,1991,Mg,Mg2Ni0.75Fe0.25,3.2,60.0,250,523.15,1.0,"Yang, 2002",1493.0,,Ball milling + diffusion synthesis,
485,1642,Complex,LiAlH4,10.6,61.0,200,473.15,1.0,"Block, 1965",783.0,[AlH4]-,,
486,131,A2B,Mg2Ni.75Zn.25,3.3,61.5,246,519.15,1.0,"Darnaudery, 1983",418.0,,,
488,1985,Mg,Mg2Ni.75Zn.25,3.3,61.5,246,519.15,1.0,"Darnaudery, 1983",418.0,,,
490,130,A2B,Mg2Ni.75V.25,2.9,62.4,250,523.15,1.0,"Darnaudery, 1983",418.0,,,
492,1983,Mg,Mg2Ni.75V.25,2.9,62.4,250,523.15,1.0,"Darnaudery, 1983",418.0,,,
494,128,A2B,Mg2Ni.75Fe.25,2.8,63.2,253,526.15,1.0,"Darnaudery, 1983",418.0,,,
496,1979,Mg,Mg2Ni.75Fe.25,2.8,63.2,253,526.15,1.0,"Darnaudery, 1983",418.0,,,
498,318,AB,ZrNi,2.0,64.0,300,573.15,1.0,"Nemirovskaya, 1991",606.0,,,
499,124,A2B,Mg2Ni.75Co.25,3.1,64.5,279,552.15,1.0,"Darnaudery, 1983",418.0,,,
501,1975,Mg,Mg2Ni.75Co.25,3.1,64.5,279,552.15,1.0,"Darnaudery, 1983",418.0,,,
503,311,AB,ZrCo,2.0,66.0,430,703.15,1.0,"Nemirovskaya, 1991",606.0,,,
504,1980,Mg,Mg2Ni.75Fe.25,2.9,66.0,285,558.15,1.0,"Selvam, 1988",712.0,,,
505,1984,Mg,Mg2Ni.75Zn.25,3.1,66.0,283,556.15,1.0,"Selvam, 1988",712.0,,,
506,1974,Mg,Mg2Ni.75Co.25,3.1,68.0,297,570.15,1.0,"Selvam, 1988",712.0,(Cal),,
507,685,AB2,GdMn2,1.1,87.5,360,633.15,1.0,"Shaltiel, 1979",361.0,,,
508,689,AB2,GdNi2,1.5,90.0,300,573.15,1.0,"Shaltiel, 1979",361.0,,,
509,948,AB5,Ca.85Mm.15Ni5,1.12,29.3,25,298.15,0.9,"Liang, 2001",1203.0,,,
510,1402,AB5,TbNi4Al,0.9,33.7,20,293.15,0.9,"Sorgic, 1996",635.0,,,
511,1064,AB5,LaNi4.7Mn0.3,1.4,36.2,20,293.15,0.9,"Verbetsky, 1989",1529.0,,,
512,438,AB2,Ti.7Zr.3Mn1.9Mo.1,1.7,41.0,17,290.15,0.9,"Gamo, 1979",34.0,,,
513,1226,AB5,La0.66Ce0.2Pr0.14Co5,1.0,41.0,50,323.15,0.9,"Sarynin, 1981",1526.0,,,
514,2445,MIC,Ce2Co7,0.9,43.3,100,373.15,0.9,"Goudy, 1976",186.0,,,
515,2201,MIC,Nd2Co7 (M),1.2,56.7,125,398.15,0.9,"Goudy, 1976",186.0,,,
516,1218,AB5,La0.1Ce0.9Co5,0.6,41.0,20,293.15,0.84,"Burnasheva, 1978",1518.0,,,
517,906,AB2,ZrCr.6Fe1.4,1.5,27.0,23,296.15,0.8,"Wallace, 1985",1169.0,,,
518,1076,AB5,LaNi4.8Sn.2,1.4,29.4,25,298.15,0.8,"Zhang, 1996",679.0,,,
519,844,AB2,Zr.7Ti.3CrFe,1.7,30.0,23,296.15,0.8,"Yu, 1985",555.0,,,
520,1231,AB5,La0.75Pr0.25Ni4.5Cu0.3Al0.2,1.4,34.2,22,295.15,0.8,"Petrova, 1989",1520.0,,,
521,2394,MIC,Zr2Ni5,0.5,35.0,60,333.15,0.8,"Spit, 1982",446.0,,,
522,1201,AB5,La.8Ce.2Ni4.25Co.5Sn.25,1.2,38.2,25,298.15,0.8,"Zhang, 1996",679.0,,,
523,556,AB2,ZrCr2Fe.8,1.2,46.5,100,373.15,0.8,"Drasner, 1991",564.0,,,
524,2291,MIC,Ti3Al,2.9,47.0,50,323.15,0.8,"Rudman, 1978",191.0,,,
525,1044,AB5,LaNi4.6Ge.4,1.2,34.3,30,303.15,0.78,"Mendlesohn, 1979",486.0,,,
526,908,AB2,ZrCr1.2Fe.8,1.4,50.2,70,343.15,0.75,"Boulghallat, 1993",375.0,(+ Fe1.2 & Fe1.5),,
527,1219,AB5,La0.2Ce0.8Co5,0.6,44.0,20,293.15,0.72,"Burnasheva, 1978",1518.0,,,
528,636,AB2,ZrMn2Fe.8,1.4,12.7,23,296.15,0.7,"Sinha, 1982",509.0,,,
529,643,AB2,ZrMn3.8,1.2,17.0,30,303.15,0.7,"Pourarian, 1981",19.0,,,
530,2483,SS,Pd.9Ni.05Rh.05,0.6,28.4,30,303.15,0.7,"Sakamoto, 1995",603.0,,,
531,194,AB,TiFe.8Be.2,1.4,30.5,21,294.15,0.7,"Bruzzone, 1980",421.0,,,
532,1228,AB5,La0.75Ce0.25Ni4Cu0.8Al0.2,1.4,33.5,22,295.15,0.7,"Petrova, 1989",1520.0,,,
533,953,AB5,CaNi5,1.2,33.9,25,298.15,0.7,"Nahm, 1990",252.0,,,
534,1061,AB5,LaNi4.7Al0.3,1.3,34.9,20,293.15,0.7,"Verbetsky, 1989",1529.0,,,
535,2125,MIC,La.5Ca1.5MgNi9 (M),1.9,35.4,20,293.15,0.7,"Chen, 2000",1316.0,,,
536,902,AB2,ZrCoCr,1.6,40.2,50,323.15,0.7,"Shaltiel, 1977",14.0,,,
537,1367,AB5,NdCo5,0.62,42.7,22,295.15,0.7,"van Mal, 1976",103.0,,,
538,1050,AB5,LaNi4.6Si.4,1.0,35.6,30,303.15,0.67,"Mendlesohn, 1979",486.0,,,
539,1222,AB5,La0.4Ce0.6Co5,0.6,38.0,20,293.15,0.65,"Burnasheva, 1978",1518.0,,,
540,1041,AB5,LaNi4.6Al.4,1.38,36.4,48,321.15,0.64,"Mendelsoh, 1979",265.0,,,
541,2123,MIC,HoFe3,1.0,44.6,150,423.15,0.63,"Goudy, 1976",186.0,,,
542,1274,AB5,LaNi3Cr0.5Cu1.5,1.1,35.5,22,295.15,0.62,"Burnasheva, 1984",1528.0,,,
543,2601,SS,Pd.927Ir.073,0.1,17.0,25,298.15,0.6,"LaPrade, 1974",469.0,,,
544,642,AB2,ZrMn3,1.3,29.2,50,323.15,0.6,"Luo, 1992",582.0,,,
545,590,AB2,ZrFeMo,1.2,29.8,30,303.15,0.6,"Semenenko, 1980",638.0,,,
546,568,AB2,ZrCrFeMn.8,1.4,32.0,23,296.15,0.6,"Wallace, 1985",1168.0,,,sloping plateau
547,2488,SS,Pd.9Rh.1,0.7,32.4,50,323.15,0.6,"Noh, 1993",867.0,,,
548,998,AB5,DyNi4Al,0.8,35.4,20,293.15,0.6,"Sorgic, 1996",635.0,,,
549,2460,SS,Pd.95Co.05,0.6,38.2,81,354.15,0.6,"Feenstra, 1987",609.0,,,
550,1027,AB5,LaNi4.5Al.5,1.38,38.6,60,333.15,0.6,"Mendelsoh, 1979",265.0,,,
551,1039,AB5,LaNi4.65Mn0.2Al0.15,1.5,38.8,20,293.15,0.6,"Verbetsky, 1989",1529.0,,,
552,2124,MIC,La.5Ca.5Ni3,1.6,43.5,20,293.15,0.6,"Chen, 2000",1316.0,,,
553,2261,MIC,TbCo3 (M),1.4,46.9,75,348.15,0.6,"Burnasheva, 1977",543.0,,,
554,2486,SS,Pd.9Rh.1,0.6,29.2,30,303.15,0.58,"Sakamoto, 1994",868.0,,,
555,1259,AB5,LaNi2FeCu2,1.1,36.9,22,295.15,0.55,"Burnasheva, 1984",1528.0,,,
556,1283,AB5,LaNi5,1.4,29.7,0,273.15,0.5,"Mikheeva, 1976",668.0,,,
557,1146,AB5,MmNi4.2Al.8,1.1,31.0,30,303.15,0.5,"Iwakura, 1995",1177.0,,,
558,955,AB5,CaNi5 (M),1.9,31.9,25,298.15,0.5,"Sandrock, 1977",106.0,,,
559,1037,AB5,LaNi4.5Si.5,1.0,36.5,25,298.15,0.5,"Meli, 1992",674.0,,,
560,954,AB5,CaNi5 (M),1.7,37.7,25,298.15,0.5,"Oesterreicher, 1980",43.0,,,
561,432,AB2,Ti.6Zr.4Mn1.9Cu.1,1.7,40.6,20,293.15,0.5,"Gamo, 1979",34.0,,,
562,1015,AB5,LaNi4.25Co.5Sn.25,1.4,42.5,25,298.15,0.5,"Zhang, 1996",679.0,,,
563,449,AB2,Ti.8Zr.2Mn1.5V.5,2.0,45.6,30,303.15,0.5,"Hong, 1993",373.0,,,
564,1386,AB5,PrCo5 (M),0.8,40.0,20,293.15,0.49,"Burnasheva, 1978",1517.0,,,Lower plateau
565,1105,AB5,LaNi4Fe0.5Cu0.5,1.3,36.1,22,295.15,0.48,"Burnasheva, 1984",1528.0,,,
566,1077,AB5,LaNi4.8Sn.2,1.4,32.8,25,298.15,0.47,"Luo, 1995",275.0,,,
567,2375,MIC,YCo3,1.5,44.0,75,348.15,0.45,"Yamaguchi, 1985",573.0,,,
568,2562,SS,Nb.97Cr.03,0.9,47.2,77,350.15,0.45,"Esayed, 2000",1419.0,,,
570,2561,SS,Nb.95Cr.05,0.9,47.2,77,350.15,0.26,"Esayed, 2000",1419.0,,,
572,1060,AB5,LaNi4.7Al.3,1.44,34.0,25,298.15,0.42,"Huston, 1980",77.0,,,
573,626,AB2,ZrMn2.8,1.5,18.4,23,296.15,0.4,"Pourarian, 1981",19.0,,,
574,924,AB2,ZrMo2 (M),1.0,22.0,-78,195.15,0.4,"Semenko, 1996",1154.0,,,
575,469,AB2,TiV1.4Ni.6,2.9,28.8,60,333.15,0.4,"Chen, 1994",1163.0,,,
576,2159,MIC,LaCaMgNi6Al.3,1.9,30.0,20,293.15,0.4,"Chen, 2000",1295.0,,,Sloping plateau
577,2160,MIC,LaCaMgNi6Al3,1.8,30.0,20,293.15,0.4,"Chen, 2000",1316.0,,,Sloping plateau
578,602,AB2,ZrMn1.2Fe0.4,1.5,33.0,50,323.15,0.4,"Shaltiel, 1977",14.0,(+ ZrMnFe),,
579,2437,MIC,CaNi3,2.0,35.0,20,293.15,0.4,"Chen, 2000",1316.0,,,
580,1148,AB5,MmNi4.2Co.2Mn.3Al.3,1.38,36.5,40,313.15,0.4,"Takeya, 1993",279.0,,,
581,2473,SS,Pd.96Pt.04,0.5,37.4,80,353.15,0.4,"Yasumatsu, 1999",1406.0,,,
582,2067,MIC,DyFe3,1.0,47.1,150,423.15,0.4,"Goudy, 1976",186.0,,,
583,2168,MIC,LaMg2Cu2,2.4,64.2,170,443.15,0.4,"Kadir, 1999",1305.0,,,
584,2606,SS,Pd.942Ir.058,0.4,25.9,25,298.15,0.35,"LaPrade, 1974",469.0,,,
585,956,AB5,CaNi5 (M),1.9,32.2,20,293.15,0.33,"Yoshikawa, 1982",138.0,,,
586,1012,AB5,LaNi3FeCu,1.1,37.2,22,295.15,0.33,"Burnasheva, 1984",1528.0,,,
587,200,AB,TiFe.8Ni.2,1.3,41.2,50,323.15,0.33,"Huston, 1980",77.0,,,
588,2462,SS,Pd.95Ni.025Rh.025,0.7,32.6,50,323.15,0.32,"Sakamoto, 1995",603.0,,,
589,2113,MIC,Ho6Fe23,0.8,24.3,0,273.15,0.3,"Smith, 1983",612.0,,,
590,2585,SS,Pd.88Pt.06Rh.06,0.5,24.8,0,273.15,0.3,"Sakamoto, 1997",661.0,,,
591,2464,SS,Pd.95Pt.05,0.6,29.0,25,298.15,0.3,"Thiebaut, 1995",482.0,,,
592,2600,SS,Pd.925Rh.075,0.7,32.4,30,303.15,0.3,"Sakamoto, 1994",868.0,,,
593,1020,AB5,LaNi4.4B.6,0.62,33.5,25,298.15,0.3,"Mendelsohn, 1980",380.0,,,
594,1021,AB5,LaNi4.4Zn.6,1.4,34.8,20,293.15,0.3,"Rozdzynska-Kielbik, 2000",1198.0,,,
595,2047,MIC,CeCo3 (M),1.0,38.1,79,352.15,0.3,"Tauber, 1976",529.0,,,
596,535,AB2,Zr(Ni.6V.2Mn.2)2.4,1.6,39.9,30,303.15,0.3,"Gao, 1995",404.0,,,
597,2065,MIC,DyCo3,1.4,42.7,50,323.15,0.3,"Burnasheva, 1977",543.0,,,
598,1028,AB5,LaNi4.5Al.5,1.4,44.4,25,298.15,0.3,"Oh, 1998",1187.0,,,
599,429,AB2,Ti.6Zr.4Mn1.4Cr.4Cu.2,1.8,48.0,20,293.15,0.3,"Gamo, 1979",35.0,,,
600,2362,MIC,Y5Si3,0.4,53.3,398,671.15,0.3,"McColm, 1986",574.0,,,
601,2217,MIC,NdCo3 (M),1.3,54.5,20,293.15,0.29,"Kierstead, 1981",444.0,,,
602,198,AB,TiFe.8Ni.2,1.0,41.9,50,323.15,0.28,"Mintz, 1981",390.0,,,
603,2461,SS,Pd.95Cr.05,0.6,29.6,30,303.15,0.26,"Ura, 1995",484.0,,,
604,316,AB,ZrNi,1.8,76.8,250,523.15,0.26,"Libowitz, 1958",68.0,,,
605,580,AB2,ZrFe1.5V.5,1.6,32.2,50,323.15,0.25,"Shaltiel, 1977",14.0,,,
606,2348,MIC,Y2Co7,1.3,38.0,20,293.15,0.25,"Yamaguchi, 1985",573.0,,,
607,2429,MIC,Zr7Ni10,1.4,47.0,60,333.15,0.25,"Spit, 1982",446.0,,,
608,909,AB2,ZrCr1.2Ni.8,2.0,56.4,70,343.15,0.25,"Boulghallat, 1993",375.0,,,
609,1220,AB5,La0.2Pr0.8Co5 (M),0.7,38.0,20,293.15,0.23,"Burnasheva, 1978",1517.0,,,Lower plateau
610,1123,AB5,MmNi3.5Co.7Al.8,1.24,39.8,40,313.15,0.23,"Sakai, 1992",278.0,,,
611,2262,MIC,TbFe3,1.1,48.0,150,423.15,0.23,"Goudy, 1976",186.0,,,
612,2466,SS,Pd.95Rh.05,0.7,28.0,25,298.15,0.21,"Thiebaut, 1995",482.0,,,
613,710,AB2,Ho.8Zr.2Co2,1.2,25.0,50,323.15,0.2,"Ramesh, 1993",363.0,,,
614,925,AB2,ZrMoCr,1.3,27.6,25,298.15,0.2,"Mitrokhin, 1981",1148.0,,,sloping plateau
615,707,AB2,Ho.6Zr.4Co2,1.0,33.0,50,323.15,0.2,"Ramesh, 1993",363.0,,,
616,2045,MIC,CeCo3,1.6,38.1,50,323.15,0.2,"Burnasheva, 1977",543.0,,,
617,1035,AB5,LaNi4.5Mn0.3Al0.3,1.3,39.3,35,308.15,0.2,"Filatova, 2000",1524.0,,,
618,2082,MIC,ErCo3,1.3,39.8,50,323.15,0.2,"Burnasheva, 1977",543.0,,,
619,1248,AB5,LaCo5 (M),0.99,40.0,50,323.15,0.2,"Kuijpers, 1972",96.0,,,
620,315,AB,ZrNi,1.7,40.1,250,523.15,0.2,"Cantrell, 1995",409.0,,,
621,1006,AB5,GdNi4Al,0.9,41.5,20,293.15,0.2,"Sorgic, 1996",635.0,,,
622,2249,MIC,SmCo3,0.6,59.4,69,342.15,0.2,"Tauber, 1976",529.0,,,
623,298,AB,Zr.5Hf.5Co,1.1,76.2,200,473.15,0.2,"Konishi, 1995",858.0,,,
624,2716,SS,Zr.975Nb.025,2.2,219.0,800,1073.15,0.2,"Sinha, 1970",472.0,,,
625,1233,AB5,La0.8Ce0.2Co5,0.8,34.0,20,293.15,0.18,"Burnasheva, 1978",1518.0,,,
626,2102,MIC,GdFe3,1.0,50.4,150,423.15,0.18,"Goudy, 1976",186.0,,,
627,2465,SS,Pd.95Pt.05,0.6,33.0,30,303.15,0.17,"Noh, 1995",481.0,,,
628,1232,AB5,La0.7Ce0.3Co5 (M),0.7,42.0,20,293.15,0.17,"Burnasheva, 1978",1518.0,,,Lower plateau
629,1227,AB5,La0.6Pr0.4Co5 (M),0.9,43.0,20,293.15,0.17,"Burnasheva, 1978",1517.0,,,Lower plateau
630,2475,SS,Pd.975Mo.025,0.5,30.8,30,303.15,0.16,"Ura, 1995",484.0,,,
631,2612,SS,Pd.95Bi.05,0.4,37.8,100,373.15,0.16,"Sakamoto, 1996",637.0,,,
632,734,AB2,LiPd2,0.8,51.0,300,573.15,0.16,"Sakamoto, 1995",411.0,,,
633,1048,AB5,LaNi4.6Mn.4,1.49,39.4,25,298.15,0.15,"Lundin, 1978",272.0,,,
634,1318,AB5,LaNiCo4,1.0,45.0,40,313.15,0.15,"Colinet, 1987",569.0,,,
635,183,AB,TiCu (M),1.6,126.0,500,773.15,0.15,"Kadel, 1978",523.0,,,
636,2467,SS,Pd.95Rh.05,0.7,34.2,30,303.15,0.13,"Sakamoto, 1994",868.0,,,
637,623,AB2,ZrMn2.6Fe.2,1.4,15.0,100,373.15,0.12,"Pourarian, 1982",512.0,,,
638,628,AB2,ZrMn2.8Fe.4,1.2,23.0,100,373.15,0.12,"Pourarian, 1982",512.0,,,
639,18,A2B,Ti2Cu (M),2.2,130.0,500,773.15,0.12,"Kadel, 1978",523.0,,,
640,1103,AB5,LaNi4Fe,0.8,34.5,40,313.15,0.11,"Misawa, 1979",118.0,(+ Fe2.5),,
641,1234,AB5,La0.8Pr0.2Co5 (M),0.9,38.0,20,293.15,0.11,"Burnasheva, 1978",1517.0,,,Lower plateau
642,1294,AB5,LaNi5,1.8,30.1,-40,233.15,0.1,"Semenenko, 1977",504.0,,,
643,2474,SS,Pd.972Ir.028,0.5,30.7,25,298.15,0.1,"LaPrade, 1974",469.0,,,
644,2478,SS,Pd.98V.02,0.5,30.8,25,298.15,0.1,"Artman, 1976",485.0,,,
645,1182,AB5,MmNi4Al,1.1,32.0,30,303.15,0.1,"Iwakura, 1995",1177.0,,,sloping plateau
646,607,AB2,ZrMn1.8,1.6,38.8,50,323.15,0.1,"Luo, 1992",582.0,,,
647,586,AB2,ZrFeCr,1.7,49.4,50,323.15,0.1,"Shaltiel, 1977",14.0,,,
648,347,AB2,CeMg2,3.1,101.0,216,489.15,0.1,"Verbetsky, 1989",1155.0,,,
650,1750,Mg,CeMg2,3.1,101.0,216,489.15,0.1,"Verbetsky, 1989",1155.0,,,
652,2405,MIC,Zr3V3O,1.2,152.0,700,973.15,0.1,"Mendelsohn, 1982",440.0,,,
653,1090,AB5,LaNi4Al0.5Cu0.5,1.4,40.0,22,295.15,0.09,"Burnasheva, 1984",1528.0,,,
654,113,A2B,Mg2Ni,3.5,64.4,180,453.15,0.09,"Guthrie, 1998",863.0,Vapor synthesized,Non-twinned,
658,1960,Mg,Mg2Ni,3.5,64.4,180,453.15,0.09,"Guthrie, 1998",863.0,Vapor synthesized,,
662,114,A2B,Mg2Ni,3.5,64.4,180,453.15,0.07,"Guthrie, 1998",863.0,Vapor synthesized,Twinned,
666,1959,Mg,Mg2Ni,3.5,64.4,180,453.15,0.07,"Guthrie, 1998",863.0,Vapor synthesized,,
670,473,AB2,TiV1.8Ni.2,3.6,35.3,90,363.15,0.08,"Chen, 1994",1163.0,,,
671,1053,AB5,LaNi4.6Sn.4,1.26,38.5,20,293.15,0.08,"Mendlesoh, 1978",116.0,,,
672,291,AB,UCo,0.6,55.0,150,423.15,0.08,"Yamamoto, 1991",398.0,,,
673,414,AB2,ThZr2,0.5,413.0,910,1183.15,0.08,"Bartscher, 1988",556.0,,,
674,622,AB2,ZrMn2.5,1.4,32.0,50,323.15,0.07,"Luo, 1992",582.0,,,
675,2470,SS,Pd.95Sb.05,0.5,34.6,100,373.15,0.07,"Sakamoto, 1996",637.0,,,
676,985,AB5,CeFe5,0.7,82.0,100,373.15,0.07,"Lundin, 1975",253.0,,,
677,774,AB2,Ti.9Zr.3Mn1.3Cu.05Mo.05V.2Cr.2,2.0,15.2,20,293.15,0.06,"Au, 1995",860.0,,,
678,633,AB2,ZrMn2Cu.8,1.4,27.0,50,323.15,0.06,"Pourarian, 1984",551.0,,,
679,1292,AB5,LaNi5,1.5,28.5,-55,218.15,0.06,"Andreev, 1978",670.0,Low temperature data,,
680,1249,AB5,LaCo5 (M),1.0,42.3,30,303.15,0.06,"Ishikawa, 2002",1510.0,,,
681,119,A2B,Mg2Ni,3.6,68.8,180,453.15,0.06,"Guthrie, 1998",863.0,Melted,Non-twinned,
683,1966,Mg,Mg2Ni,3.6,68.8,180,453.15,0.06,"Guthrie, 1998",863.0,Melted,,
685,2476,SS,Pd.975Rh.025,0.7,36.0,30,303.15,0.056,"Sakamoto, 1994",868.0,,,
686,1013,AB5,LaNi4.25Al.75,1.13,44.1,40,313.15,0.054,"Diaz, 1979",270.0,,,
687,1046,AB5,LaNi4.6In.4,1.2,39.8,20,293.15,0.05,"Mendlesohn, 1978",116.0,,,
688,144,AB,ThCo,1.4,46.8,40,313.15,0.05,"Buschow, 1975",187.0,,,
689,115,A2B,Mg2Ni,3.5,68.6,180,453.15,0.05,"Guthrie, 1998",863.0,Melted,Twinned,
691,1961,Mg,Mg2Ni,3.5,68.6,180,453.15,0.05,"Guthrie, 1998",863.0,Melted,,
693,330,AB2,CaNi2,2.1,85.0,25,298.15,0.05,"Oesterreicher, 1980",43.0,,,
694,308,AB,ZrCo,1.2,90.0,252,525.15,0.05,"Devillers, 1989",399.0,,,
695,1095,AB5,LaNi4Cr,0.54,34.0,25,298.15,0.04,"Misawa, 1979",118.0,,,
696,2471,SS,Pd.95Sc.05,0.5,37.4,50,323.15,0.04,"Sakamoto, 1993",604.0,,,
697,952,AB5,CaNi5,0.3,62.0,22,295.15,0.04,"Yagisawa, 1984",671.0,Lowest plateau only,,
698,189,AB,TiFe.6Ni.4,1.5,48.6,50,323.15,0.035,"Bershadsky, 1993",395.0,,,
699,619,AB2,ZrMn2,1.8,53.2,80,353.15,0.03,"Shaltiel, 1977",14.0,,,
700,300,AB,Zr.7Hf.3Co,1.4,80.3,200,473.15,0.03,"Konishi, 1995",858.0,,,
701,254,AB,HfNi (M),1.3,50.0,50,323.15,0.02,"van Essen, 1979",386.0,,,
702,2235,MIC,PrCo3,1.3,54.2,100,373.15,0.02,"Clinton, 1975",102.0,,,
703,270,AB,Li.94Pd,0.9,69.2,300,573.15,0.02,"Sakamoto, 1995",411.0,,,
704,39,A2B,Zr2Cu (M),1.3,142.0,700,973.15,0.02,"Kadel, 1979",429.0,,,
705,2096,MIC,GdCo3 (M),1.3,42.6,20,293.15,0.015,"Kierstead, 1981",444.0,,,
706,1684,Mg,Mg6Pd,0.9,80.3,160,433.15,0.014,"Kume, 1987",576.0,,,
708,2187,MIC,Mg6Pd,0.9,80.3,160,433.15,0.014,"Kume, 1987",576.0,,,
710,658,AB2,ErFe2 (M),1.1,56.2,130,403.15,0.013,"Flanagan, 1987",358.0,,,
711,312,AB,ZrCo (M),1.6,67.0,200,473.15,0.013,"Irvine, 1978",70.0,,,
712,239,AB,ErAg,0.3,35.2,790,1063.15,0.01,"Philipp, 1991",384.0,,,
713,618,AB2,ZrMn2,1.7,37.4,50,323.15,0.01,"Luo, 1992",582.0,,,
714,145,AB,ThNi,1.2,45.3,40,313.15,0.01,"Buschow, 1975",187.0,,,
715,457,AB2,Ti.8Zr.2V.6Mn.2Pd.1Ni.8Fe.2,1.3,46.5,25,298.15,0.01,"Yang, 1999",1180.0,,,
716,950,AB5,CaNi4B,1.2,55.7,27,300.15,0.01,"Oesterreicher, 1980",43.0,,,
717,313,AB,ZrCo.84Ni.16 (M),1.6,83.0,250,523.15,0.01,"Irvine, 1980",400.0,,,
718,2286,MIC,ThNiAl,0.9,47.0,40,313.15,0.007,"Drulis, 1982",434.0,,,
719,314,AB,ZrNi,1.2,47.5,300,573.15,0.005,"Luo, 1990",550.0,,,
720,310,AB,ZrCo,1.7,76.3,200,473.15,0.005,"Konishi, 1995",858.0,,,
721,1703,Mg,MgNi,2.0,40.0,25,298.15,0.004,"Ikeda, 1998",1466.0,Amorphous,,
722,180,AB,TiCu,1.7,75.0,200,473.15,0.004,"Maeland, 1978",389.0,,,
723,914,AB2,ZrCr2,1.8,42.0,27,300.15,0.003,"Pebler, 1967",13.0,,,
724,480,AB2,TmFe2 (M),1.6,56.8,80,353.15,0.003,"Kierstead, 1982",374.0,,,
725,38,A2B,Zr2Cu (M),1.3,144.0,600,873.15,0.003,"Pebler, 1966",12.0,,,
726,44,A2B,Zr2Ni,1.3,183.0,604,877.15,0.003,"Pebler, 1966",12.0,,,
727,903,AB2,ZrCoV,1.8,49.4,50,323.15,0.0023,"Shaltiel, 1977",14.0,,,
728,2576,SS,Pd.7Ag.3,0.3,46.0,50,323.15,0.002,"Brodowsky, 1965",527.0,,,
729,591,AB2,ZrFeV,1.6,48.1,50,323.15,0.0012,"Shaltiel, 1977",14.0,,,
730,2068,MIC,DyFe3(M),1.1,45.7,20,293.15,0.001,"Kierstead, 1980",449.0,,,
731,659,AB2,ErFe2 (M),1.5,57.9,80,353.15,0.001,"Kierstead, 1980",356.0,,,
732,251,AB,HfCo,1.3,59.0,50,323.15,0.001,"van Essen, 1979",386.0,,,
733,749,AB2,PrCo2,1.5,67.0,100,373.15,0.001,"Clinton, 1975",102.0,,,
734,5,A2B,Th2Al,0.8,130.0,500,773.15,0.001,"Van Vucht, 1963",492.0,,,
735,484,AB2,UNiAl (M),0.5,74.6,100,373.15,0.0003,"Yamanaka, 1999",1260.0,,,
736,4,A2B,Th1.5Ce.5Al,0.4,133.0,650,923.15,0.0003,"Van Vucht, 1963",492.0,,,
738,409,AB2,Th1.5Ce.5Al,0.4,133.0,650,923.15,0.0003,"Van Vucht, 1963",492.0,,,
740,368,AB2,DyFe2 (M),1.5,58.0,80,353.15,0.0001,"Kierstead, 1980",356.0,,,
