item_number,material_class,composition_formula,hydrogen_weight_percent,heat_of_formation,temperature,Temp,pressure,author_year,reference_number,comment1,comment2,comment3
2386,MIC,YNi3,0.45,,50,323.15,0.25,"van Essen, 1980",355,,,
1265,AB5,LaNi3.85Mn0.4Co0.75,,,40,313.15,0.24,"Joubert, 2000",1512,,,
1220,AB5,La0.2Pr0.8Co5 (M),0.7,38,20,293.15,0.23,"Burnasheva, 1978",1517,,,Lower plateau
970,AB5,Ce0.2Pr0.8Co5 (M),0.6,39,20,293.15,0.23,"Burnasheva, 1978",1517,,,Lower plateau
1123,AB5,MmNi3.5Co.7Al.8,1.24,39.8,40,313.15,0.23,"Sakai, 1992",278,,,
2262,MIC,TbFe3,1.1,48,150,423.15,0.23,"Goudy, 1976",186,,,
1273,AB5,LaNi3Co2,1.5,,25,298.15,0.23,"Goodell, 1980",256,,,
2710,SS,Zr.924Nb.024Ti.052,2.2,,800,1073.15,0.23,"Sinha, 1976",473,,,
2275,MIC,Th6Mn23,1.1,,24,297.15,0.22,"Malik, 1984",572,,,
2466,SS,Pd.95Rh.05,0.7,28,25,298.15,0.21,"Thiebaut, 1995",482,,,
2720,SS,Zr1-xNbx,1.9,,800,1073.15,0.21,"Sinha, 1972",474,(x=0.049-0.197),,
710,AB2,Ho.8Zr.2Co2,1.2,25,50,323.15,0.2,"Ramesh, 1993",363,,,
925,AB2,ZrMoCr,1.3,27.6,25,298.15,0.2,"Mitrokhin, 1981",1148,,,sloping plateau
707,AB2,Ho.6Zr.4Co2,1,33,50,323.15,0.2,"Ramesh, 1993",363,,,
2045,MIC,CeCo3,1.6,38.1,50,323.15,0.2,"Burnasheva, 1977",543,,,
1035,AB5,LaNi4.5Mn0.3Al0.3,1.3,39.3,35,308.15,0.2,"Filatova, 2000",1524,,,
2082,MIC,ErCo3,1.3,39.8,50,323.15,0.2,"Burnasheva, 1977",543,,,
1248,AB5,LaCo5 (M),0.99,40,50,323.15,0.2,"Kuijpers, 1972",96,,,
315,AB,ZrNi,1.7,40.1,250,523.15,0.2,"Cantrell, 1995",409,,,
1006,AB5,GdNi4Al,0.9,41.5,20,293.15,0.2,"Sorgic, 1996",635,,,
2249,MIC,SmCo3,0.6,59.4,69,342.15,0.2,"Tauber, 1976",529,,,
298,AB,Zr.5Hf.5Co,1.1,76.2,200,473.15,0.2,"Konishi, 1995",858,,,
2716,SS,Zr.975Nb.025,2.2,219,800,1073.15,0.2,"Sinha, 1970",472,,,
179,AB,TiCu,1.3,,500,773.15,0.2,"Someno, 1979",381,,,
301,AB,Zr.7Ti.3Co.7Ni.3,1.1,,100,373.15,0.2,"Shimizu, 1999",1212,,,
486,AB2,UTi2,1.9,,400,673.15,0.2,"Asada, 1995",628,,,
552,AB2,Zr.6Ti.4Mn2,1.7,,23,296.15,0.2,"Fujii, 1981",18,,,
592,AB2,ZrMn.5V.5Ni1.4,1.6,,30,303.15,0.2,"Kim, 1999",1264,,,Sloping plateau
801,AB2,TiCr1.8V.2,2.9,,-40,233.15,0.2,"Kabutomori, 1995",479,,,
835,AB2,TiMnV.5 (M),2.6,,25,298.15,0.2,"Yu, 1997",821,,,
842,AB2,Zr.7Ti.3Cr.3Mn.3V.4Ni1.0,1.8,,50,323.15,0.2,"Kim, 1999",1264,,,Sloping plateau
870,AB2,Zr.9Ti.1CrFe,1.6,,30,303.15,0.2,"Park, 1993",687,,,
880,AB2,Zr.9Ti.1V.5Fe1.5,1.5,,50,323.15,0.2,"Park, 1993",687,,,
927,AB2,ZrNi1.2Cr.8La.05,1.7,,25,298.15,0.2,"Sun, 1996",689,,,
1024,AB5,LaNi4.5Al.5,,,25,298.15,0.2,"Latroche, 1995",620,,,
